"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-03PBECJ\Processor(_Total)\% Processor Time","\\ASCENDI-03PBECJ\System\Processor Queue Length","\\ASCENDI-03PBECJ\Processor Information(_Total)\% Privileged Time","\\ASCENDI-03PBECJ\Memory\Available MBytes","\\ASCENDI-03PBECJ\Memory\Pages/sec","\\ASCENDI-03PBECJ\Memory\Pool Nonpaged Bytes","\\ASCENDI-03PBECJ\Process(_Total)\Working Set","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Disk Reads/sec","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Disk Writes/sec","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Avg. Disk sec/Read","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Avg. Disk sec/Write","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Current Disk Queue Length","\\ASCENDI-03PBECJ\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Bytes Total/sec","\\ASCENDI-03PBECJ\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Packets/sec","\\ASCENDI-03PBECJ\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Output Queue Length"
"08/25/2025 15:23:47.167","36.071957855934712711","0","44.579954964965338604","4617","3.1728607452439114844","253239296","7493439488","0","7.337240473376545502","0","0.0067815351351351348466","0","290.71336578297336928","4.5609873212881231197","0"
"08/25/2025 15:23:51.056","43.151538587400274594","0","54.435280255416408579","4617","0","253190144","7496306688","0","1.2110165692901697643","0","0.0022920000000000002004","0","48.036990581843404868","0.80734437952677984285","0"
"08/25/2025 15:23:54.945","28.165423777225196744","1","46.104858318042779786","4618","0","253173760","7493488640","0","2.5750921125304948589","0","0.0016940461538461537485","0","45.163153973611755987","0.59425202596857573667","0"
"08/25/2025 15:23:58.656","45.003899964610624806","1","64.629334037245996569","4622","0","253140992","7485321216","0","6.6599829614801615563","0","0.003171522857142857095","0","67.931826207097643078","1.1417113648251704383","0"
"08/25/2025 15:24:02.007","44.812020552983064192","0","69.245113848405011936","4629","0","252862464","7467778048","0","4.4584312746300458485","0","0.0089448476190476192832","0","73.457962905809324639","1.0615312558642966412","0"
"08/25/2025 15:24:05.870","15.22387604357101587","0","37.209181450295083948","4630","0","252915712","7467634688","0","2.8063670856439091317","0","0.0026452214285714284632","0","104.83785612798317288","1.6036383346536622341","0"
"08/25/2025 15:24:09.778","28.286997395645830267","0","47.186291966944232001","4635","0","252817408","7466668032","0","1.398458171896320712","0","0.0029533571428571429862","0","3861.9421315611111822","14.384141196647870942","0"
"08/25/2025 15:24:14.050","52.925972175406158726","0","56.591239572438070127","4634","0","252948480","7457026048","0","3.386655696027171647","0","0.0099344941176470590721","0","58.768437078118566319","0.79686016377109925024","0"
"08/25/2025 15:24:18.342","47.260189994186710294","0","50.976214905934611465","4636","0","252891136","7455633408","0","2.4047911134311110715","0","0.0017787000000000000293","0","117.23356677976666163","1.8035933350733330816","0"
"08/25/2025 15:24:23.018","59.556774117601804619","0","52.874895358157580461","4637","3.0048436878310358367","252903424","7462318080","0.40064582504413814856","5.0080728130517266905","0.026924949999999999578","0.002115647999999999921","0","190.70741272100974584","3.2051666003531051885","0"
"08/25/2025 15:24:27.754","29.027351053093930489","0","29.774355668846038014","4636","10.374545016347889614","252866560","7451840512","1.9951048108361326694","7.3818878000936907213","0.0074693800000000002901","0.003330002702702702759","0","91.974331779545707377","1.1970628865016794684","0"
"08/25/2025 15:24:32.884","48.798510729101408856","0","37.467091100373004053","4615","0.20092385996354397704","252813312","7477125120","0","4.0184771992708796517","0","0.0026427149999999999079","1","23.709015475698187458","0.40184771992708795407","0"
"08/25/2025 15:24:38.079","25.418970242111381452","0","18.194162501420407807","4614","0","252821504","7467503616","0","2.3997338695138710207","0","0.0011092166666666666407","0","529.94122951764654772","5.3994012064062095746","0"
"08/25/2025 15:24:43.759","29.656091493378443857","0","15.751206320716621079","4617","0","252993536","7465537536","0","6.1849895252214492913","0","0.0016518129032258065461","0","127.88962211828867055","1.9951579113617576855","0"
"08/25/2025 15:24:49.485","35.4857364828296582","0","18.282917945146547112","4621","0","252952576","7465320448","0","3.5929203659940305293","0","0.0013696611111111110792","0","116.76991189480600042","1.7964601829970152647","0"
"08/25/2025 15:24:55.703","51.22408989461780493","0","25.56742422293124406","4619","0","252960768","7466307584","0","5.0118974426252007603","0","0.0036299320000000002105","0","71.569895480687875988","1.2028553862300481736","0"
"08/25/2025 15:25:01.975","41.462004016079177404","0","17.685947722801611093","4626","0","252727296","7463231488","0","1.2027771161389955168","0","0.0022572666666666667094","0","45.705530413281834967","0.6013885580694977584","0"
"08/25/2025 15:25:08.851","44.777567569132045833","0","14.941871422295408323","4627","0","252715008","7463256064","0","5.1848867809177745514","0","0.0015311653846153845931","0","71.192483876447909097","1.1965123340579479905","0"
"08/25/2025 15:25:15.642","41.502007120114868144","0","12.826994420033649646","4628","0","252682240","7463305216","0","1.0013771739998584831","0","0.0018121399999999998447","0","602.22823244351491212","6.609089348399066921","0"
"08/25/2025 15:25:21.826","36.170138967962429888","0","15.159760836378962878","4629","0","252715008","7463260160","0","0.99739365080745601144","0","0.0020135999999999999385","0","23.737968889217455626","0.39895746032298240458","0"
"08/25/2025 15:25:27.940","35.801780695556317369","0","15.335195225050410883","4632","0","252780544","7462666240","0","4.0036547762990926103","0","0.0015187900000000001139","0","69.46341036878925479","1.0009136940747731526","0"
"08/25/2025 15:25:33.496","30.761219127812388763","0","18.912159868852228328","4630","0","252731392","7463448576","0","4.6017663419927101742","0","0.0017617260869565217613","0","71.42741669962597939","1.2004607848676636106","0"
"08/25/2025 15:25:38.996","55.242329660714098338","0","37.14084702385920167","4620","0","252829696","7468425216","0","1.8009168828033730314","0","0.0013907444444444445365","0","117.05959738221923772","1.8009168828033730314","0"
"08/25/2025 15:25:44.003","27.774293703356033092","0","24.418938462909466125","4621","0","252702720","7464603648","0","5.794357570485012765","0","0.0030710793103448275239","0","160.6435685058603724","1.9980543346500045931","0"
"08/25/2025 15:25:48.955","26.423623036845388157","0","19.249697922379723991","4621","0.40045364189461102322","252764160","7465160704","0","17.019279780520967904","0","0.0036193247058823527218","0","10464.85479681092329","22.225177125150910484","0"
"08/25/2025 15:25:53.452","16.804313494264444984","0","22.928722589003964316","4626","0","252739584","7462821888","0","0.6007362743926210058","0","0.001871566666666666821","0","351.23047509488577589","1.4017179735827824949","0"
"08/25/2025 15:25:57.926","11.863050989340983676","0","20.955996698720809945","4628","0","252649472","7462297600","0","3.5892623627156998722","0","0.0012241666666666665888","0","116.65102678826023919","1.7946311813578499361","0"
"08/25/2025 15:26:01.980","4.7395973357126308656","0","23.702982655688160207","4631","0","252702720","7459033088","0","14.783967083377419272","0","0.0018284675675675674499","0","118.87108668391303468","1.9978333896455973129","0"
"08/25/2025 15:26:05.989","15.614965391612045664","0","34.00736507904831285","4634","0.40116598090016675204","252547072","7463219200","0","1.6046639236006670082","0","0.0015860749999999999415","0","323.13919761508429929","2.6075788758510838328","0"
"08/25/2025 15:26:09.629","0","0","25.107636135680412082","4624","0.20018737137586037345","252555264","7463084032","0","5.2048716557723704312","0","0.0019821500000000002312","0","23.822297193727386855","0.40037474275172074689","0"
"08/25/2025 15:26:13.308","0","0","26.762493180406977444","4624","0","252547072","7463088128","0","6.9858040079593459737","0","0.0022886257142857142043","0","539.70325821491633178","5.588643206367476246","0"
"08/25/2025 15:26:17.309","1.9796983037898452373","0","24.1145550441275347","4625","0","252538880","7463067648","0","0.60097307155854473582","0","0.001243833333333333336","0","23.838598505155609075","0.40064871437236321272","0"
"08/25/2025 15:26:21.348","3.1002354374159768469","0","22.629286334974711536","4627","0","252555264","7462285312","0","3.1969873509397155331","0","0.0017624125000000000468","0","116.88985001873335534","1.7983053849035901539","0"
"08/25/2025 15:26:25.758","14.606713188494680367","0","23.031384409742098995","4624","0","252534784","7462858752","0","6.6015061996545130185","0","0.0017159727272727273543","0","119.0271572361950092","2.0004564241377313927","0"
"08/25/2025 15:26:30.187","10.136463160107666681","0","19.136789881708356376","4625","0","252518400","7462498304","0","0.60127689566671360666","0","0.0021620333333333334284","0","69.547694265449877093","1.0021281594445226037","0"
"08/25/2025 15:26:35.049","20.697050490563317027","0","19.926171452163426778","4625","0","252579840","7462506496","0","4.1892295745484275926","0","0.0015819904761904762889","0","71.21690276732327618","1.196922735585264963","0"
"08/25/2025 15:26:39.936","20.078158803741953164","0","19.261162705298623621","4625","0","252518400","7464517632","0","3.3972337684317168716","0","0.0019735882352941176016","0","577.13006607239992718","6.1949556953754836286","0"
"08/25/2025 15:26:45.267","25.259224223996834979","0","16.560211103310507497","4626","0","252600320","7464460288","0","3.0019789645730257099","0","0.0019165600000000000951","0","81.053432043471701718","1.2007915858292104172","0"
"08/25/2025 15:26:50.639","27.497997437941801735","0","17.889160340268375649","4629","0","252530688","7465738240","0","3.3963997483387657894","0","0.0020573823529411762456","0","69.326512510208928575","0.99894110245257816683","0"
"08/25/2025 15:26:56.485","39.391048651351709964","0","20.381180458934061051","4625","0","252600320","7460876288","0","5.4225503262376983926","0","0.0017935814814814816757","0","443.64495076515095207","6.0250559180418870042","0"
"08/25/2025 15:27:02.404","44.721776187496772081","0","23.625493595954917936","4634","0.39902190155403466365","252469248","7451684864","0","4.9877737694254333789","0","0.0019822360000000000674","0","8445.4980573419197754","17.157941766823491037","0"
"08/25/2025 15:27:08.846","41.1600104062294605","0","15.462096629168659234","4634","0","252506112","7452401664","0","6.2104395003825629828","0","0.0015971903225806452064","0","361.60784832872667494","3.2053881292297101702","0"
"08/25/2025 15:27:15.273","37.975518728688562931","0","12.88564629018022778","4633","0","252465152","7452274688","0","1.5976768500458851108","0","0.0022096249999999997837","0","3834.4244401101245785","14.379091650412966885","0"
"08/25/2025 15:27:21.093","31.530794520827598149","0","14.698471298079049063","4633","0","252506112","7452618752","0","6.1888296575744510264","0","0.0049283548387096774712","0","0","0","0"
"08/25/2025 15:27:26.854","31.215915328911457038","0","14.577942866289985702","4634","0","252432384","7452143616","0","3.0101736041368454266","0","0.0015914799999999999346","0","115.38998815857907232","1.6054259222063174128","0"
"08/25/2025 15:27:32.105","21.736226128108683042","0","14.73025401771338494","4632","0","252420096","7452397568","0","4.7788356836775562897","0","0.0013856416666666664887","0","142.17036158940729251","2.3894178418387781448","0"
"08/25/2025 15:27:37.301","22.310458146931321011","0","15.710746452523890682","4631","0","252465152","7452504064","0","5.4007701498233648962","0","0.0017980814814814814057","0","23.803394364036311259","0.40005704813506409723","0"
"08/25/2025 15:27:41.984","15.04579699825936423","0","18.516488068522242827","4626","0","252477440","7453483008","0","6.2300570347653660974","0","0.0019832709677419352833","0","0","0","0"
"08/25/2025 15:27:46.687","19.871543427487903699","0","23.009914562950545047","4625","0","252424192","7455797248","0","1.3932280756156625312","0","0.0011637428571428570703","0","487.82885904771273999","5.174847138001032576","0"
"08/25/2025 15:27:50.940","54.079433264088550004","1","57.219269945525411458","4554","3.186518541086741152","253960192","7527133184","0.199157408817921322","2.589046314632977186","0.025860100000000000448","0.0018067153846153846501","0","200.15319586201093216","2.589046314632977186","0"
"08/25/2025 15:27:55.429","71.137901221841275401","2","68.482625863905127517","4544","11.548358883208132752","252465152","7587229696","2.2351662354596384397","13.224733559802860583","0.0045255166666666665765","0.0020733309859154928738","0","66.496195504924244801","1.1175831177298192198","0"
"08/25/2025 15:27:58.942","61.676601279937351308","0","67.389121222657820454","4514","24.337384290948563148","254337024","7631241216","5.2151537766318343259","23.468191994843255799","0.0068053041666666673135","0.0016496481481481481326","0","13168.26328599538283","19.556826662369381609","0"
"08/25/2025 15:28:02.763","21.192483227307000959","0","42.419093401255778986","4527","1.0019641904811678046","252280832","7607992320","0.20039283809623356647","29.056961523953866333","0.024559999999999998499","0.0017280441379310346271","0","91.379134171882498094","1.2023570285774014543","0"
"08/25/2025 15:28:06.955","9.7492489408969262854","0","23.202876895072424901","4520","0","252121088","7611858944","0","3.6008597412718263975","0","0.0028137000000000001419","0","71.417051535224558734","1.2002865804239419845","0"
"08/25/2025 15:28:11.167","4.5152997158214969176","0","20.590022826715152604","4519","0.19999866800887106111","252407808","7611498496","0","5.1999653682306474778","0","0.0020272538461538463367","0","95.199365972222622645","1.5999893440709684889","0"
